timestamp,source,entity,activity,resource,destination,port,protocol,anomaly_flag,predicted_anomaly,confidence,severity
2025-06-07 05:26:54.714228,IoT,device_5,file_access,cloud_bucket2,,,,0.0,0,0.3053305260361134,Low
2025-05-05 20:46:38.639741,IoT,device_7,cloud_download,cloud_bucket2,,,,0.0,0,0.37354812600039816,Low
2025-08-18 02:34:40.175472,IoT,device_9,network_access,cloud_bucket1,,,,0.0,0,0.4640156256492754,Low
2025-07-02 05:22:23.154947,IoT,device_19,file_access,database,,,,0.0,0,0.4189499489959919,Low
2025-07-14 23:50:47.803614,IoT,device_10,cloud_download,database,,,,0.0,0,0.386551584216971,Low
2025-07-19 12:56:01.755621,IoT,device_15,file_access,server1,,,,0.0,0,0.5788307778933295,Medium
2025-02-07 08:44:38.091966,IoT,device_9,network_access,server1,,,,0.0,0,0.5278499320135088,Medium
2025-10-13 02:03:24.191659,IoT,device_18,file_access,database,,,,0.0,0,0.44218279505894664,Low
2025-07-13 00:26:09.428237,IoT,device_6,file_access,cloud_bucket1,,,,0.0,0,0.21609839386080734,Normal
2025-02-07 20:06:44.406348,IoT,device_14,network_access,database,,,,0.0,0,0.21033576957104172,Normal
2025-06-28 13:25:42.498750,IoT,device_11,cloud_download,database,,,,0.0,0,0.3561806424864682,Low
2025-01-24 01:36:27.688056,IoT,device_5,network_access,cloud_bucket1,,,,0.0,0,0.5238841270328674,Medium
2025-01-12 03:49:51.440927,IoT,device_13,cloud_download,database,,,,0.0,0,0.36131156868099645,Low
2025-03-27 02:24:12.649696,IoT,device_5,file_access,database,,,,0.0,0,0.5609977195532138,Medium
2025-02-26 00:30:58.665492,IoT,device_14,network_access,cloud_bucket2,,,,0.0,0,0.5123717803166623,Medium
2025-04-11 09:30:43.291524,IoT,device_7,cloud_download,cloud_bucket2,,,,0.0,0,0.2988048915301372,Normal
2025-03-15 07:07:07.883430,IoT,device_7,file_access,cloud_bucket2,,,,0.0,0,0.420533987175296,Low
2025-01-02 21:24:44.332030,IoT,device_5,network_access,cloud_bucket1,,,,0.0,0,0.5518849266283818,Medium
2025-08-17 02:35:59.711463,IoT,device_17,file_access,cloud_bucket2,,,,0.0,0,0.5056103269580168,Medium
2025-05-22 10:45:10.374896,IoT,device_7,file_access,cloud_bucket1,,,,0.0,0,0.2192522397748283,Normal
2025-08-02 20:51:16.743057,IoT,device_2,cloud_download,server1,,,,0.0,0,0.41072803938210156,Low
2025-06-19 20:17:31.261899,IoT,device_9,file_access,cloud_bucket1,,,,0.0,0,0.44480309417915903,Low
2025-08-23 11:20:38.820706,IoT,device_8,file_access,cloud_bucket2,,,,0.0,0,0.2136378678237502,Normal
2025-08-07 20:52:44.292289,IoT,device_11,network_access,server1,,,,0.0,0,0.39601439574977326,Low
2025-09-28 16:52:48.657143,IoT,device_15,network_access,cloud_bucket1,,,,0.0,0,0.24792028469091068,Normal
2025-05-04 05:11:55.148835,IoT,device_16,file_access,cloud_bucket1,,,,0.0,0,0.5352663591970517,Medium
2025-03-14 05:32:00.176203,IoT,device_17,file_access,cloud_bucket1,,,,1.0,0,0.4425847528385177,Low
2025-06-12 18:41:48.925228,IoT,device_19,cloud_download,cloud_bucket2,,,,0.0,0,0.45045748762869064,Low
2025-09-04 21:01:09.673175,IoT,device_1,network_access,server1,,,,0.0,0,0.355113005501116,Low
2025-03-19 08:06:06.030028,IoT,device_10,file_access,cloud_bucket1,,,,0.0,0,0.30904448244661786,Low
2025-05-27 23:20:47.489208,IoT,device_18,file_access,server1,,,,0.0,0,0.2840833417831118,Normal
2025-01-18 19:41:03.138616,IoT,device_8,cloud_download,server1,,,,1.0,0,0.5799109561857245,Medium
2025-08-13 21:21:34.966338,IoT,device_2,cloud_download,cloud_bucket2,,,,0.0,0,0.34185223953807264,Low
2025-08-28 17:29:09.493677,IoT,device_7,network_access,cloud_bucket1,,,,0.0,0,0.5391987734911715,Medium
2025-09-22 09:45:54.999601,IoT,device_7,file_access,cloud_bucket2,,,,0.0,0,0.2422902072459585,Normal
2025-04-07 23:21:00.657913,IoT,device_19,cloud_download,database,,,,0.0,0,0.5859626705276101,Medium
2025-06-19 16:22:54.440595,IoT,device_19,network_access,database,,,,0.0,0,0.3462855988917095,Low
2025-09-10 01:53:38.974245,IoT,device_7,cloud_download,cloud_bucket1,,,,0.0,0,0.5053662589308618,Medium
