timestamp,source,entity,activity,resource,destination,port,protocol,anomaly_flag
2025-06-07 05:26:54.714228,IoT,device_5,file_access,2,Unknown,Unknown,3,0
2025-05-05 20:46:38.639741,IoT,device_7,cloud_download,2,Unknown,Unknown,3,0
2025-08-18 02:34:40.175472,IoT,device_9,network_access,1,Unknown,Unknown,3,0
2025-07-02 05:22:23.154947,IoT,device_19,file_access,3,Unknown,Unknown,3,0
2025-07-14 23:50:47.803614,IoT,device_10,cloud_download,3,Unknown,Unknown,3,0
2025-07-19 12:56:01.755621,IoT,device_15,file_access,7,Unknown,Unknown,3,0
2025-02-07 08:44:38.091966,IoT,device_9,network_access,7,Unknown,Unknown,3,0
2025-10-13 02:03:24.191659,IoT,device_18,file_access,3,Unknown,Unknown,3,0
2025-07-13 00:26:09.428237,IoT,device_6,file_access,1,Unknown,Unknown,3,0
2025-02-07 20:06:44.406348,IoT,device_14,network_access,3,Unknown,Unknown,3,0
2025-06-28 13:25:42.498750,IoT,device_11,cloud_download,3,Unknown,Unknown,3,0
2025-01-24 01:36:27.688056,IoT,device_5,network_access,1,Unknown,Unknown,3,0
2025-01-12 03:49:51.440927,IoT,device_13,cloud_download,3,Unknown,Unknown,3,0
2025-03-27 02:24:12.649696,IoT,device_5,file_access,3,Unknown,Unknown,3,0
2025-02-26 00:30:58.665492,IoT,device_14,network_access,2,Unknown,Unknown,3,0
2025-04-11 09:30:43.291524,IoT,device_7,cloud_download,2,Unknown,Unknown,3,0
2025-03-15 07:07:07.883430,IoT,device_7,file_access,2,Unknown,Unknown,3,0
2025-01-02 21:24:44.332030,IoT,device_5,network_access,1,Unknown,Unknown,3,0
2025-08-17 02:35:59.711463,IoT,device_17,file_access,2,Unknown,Unknown,3,0
2025-05-22 10:45:10.374896,IoT,device_7,file_access,1,Unknown,Unknown,3,0
2025-08-02 20:51:16.743057,IoT,device_2,cloud_download,7,Unknown,Unknown,3,0
2025-06-19 20:17:31.261899,IoT,device_9,file_access,1,Unknown,Unknown,3,0
2025-08-23 11:20:38.820706,IoT,device_8,file_access,2,Unknown,Unknown,3,0
2025-08-07 20:52:44.292289,IoT,device_11,network_access,7,Unknown,Unknown,3,0
2025-09-28 16:52:48.657143,IoT,device_15,network_access,1,Unknown,Unknown,3,0
2025-05-04 05:11:55.148835,IoT,device_16,file_access,1,Unknown,Unknown,3,0
2025-03-14 05:32:00.176203,IoT,device_17,file_access,1,Unknown,Unknown,3,1
2025-06-12 18:41:48.925228,IoT,device_19,cloud_download,2,Unknown,Unknown,3,0
2025-09-04 21:01:09.673175,IoT,device_1,network_access,7,Unknown,Unknown,3,0
2025-03-19 08:06:06.030028,IoT,device_10,file_access,1,Unknown,Unknown,3,0
2025-05-27 23:20:47.489208,IoT,device_18,file_access,7,Unknown,Unknown,3,0
2025-01-18 19:41:03.138616,IoT,device_8,cloud_download,7,Unknown,Unknown,3,1
2025-08-13 21:21:34.966338,IoT,device_2,cloud_download,2,Unknown,Unknown,3,0
2025-08-28 17:29:09.493677,IoT,device_7,network_access,1,Unknown,Unknown,3,0
2025-09-22 09:45:54.999601,IoT,device_7,file_access,2,Unknown,Unknown,3,0
2025-04-07 23:21:00.657913,IoT,device_19,cloud_download,3,Unknown,Unknown,3,0
2025-06-19 16:22:54.440595,IoT,device_19,network_access,3,Unknown,Unknown,3,0
2025-09-10 01:53:38.974245,IoT,device_7,cloud_download,1,Unknown,Unknown,3,0
2025-05-06 05:04:36.017159,IoT,device_8,file_access,2,Unknown,Unknown,3,0
2025-04-21 16:55:09.251219,IoT,device_7,cloud_download,7,Unknown,Unknown,3,0
2025-05-11 15:29:50.825368,IoT,device_2,network_access,7,Unknown,Unknown,3,0
2025-02-04 20:44:41.973641,IoT,device_9,network_access,3,Unknown,Unknown,3,1
2025-04-15 00:34:20.115376,IoT,device_19,network_access,2,Unknown,Unknown,3,0
2025-07-29 14:17:02.659547,IoT,device_15,network_access,1,Unknown,Unknown,3,0
2025-02-21 10:36:20.332032,IoT,device_15,network_access,7,Unknown,Unknown,3,0
2025-07-19 07:26:13.449631,IoT,device_3,network_access,2,Unknown,Unknown,3,0
2025-06-30 15:17:22.492452,IoT,device_18,file_access,2,Unknown,Unknown,3,0
2025-07-30 03:31:32.674209,IoT,device_8,file_access,3,Unknown,Unknown,3,0
2025-01-23 22:40:20.147073,IoT,device_13,cloud_download,2,Unknown,Unknown,3,0
2025-07-21 14:54:21.443418,IoT,device_6,cloud_download,2,Unknown,Unknown,3,0
2025-06-19 17:41:54.263104,IoT,device_18,cloud_download,7,Unknown,Unknown,3,0
2025-04-20 06:54:04.196948,IoT,device_14,network_access,1,Unknown,Unknown,3,0
2025-05-22 11:08:28.585315,IoT,device_8,cloud_download,7,Unknown,Unknown,3,0
2025-05-09 12:32:42.419545,IoT,device_19,cloud_download,2,Unknown,Unknown,3,0
2025-06-13 00:48:07.363040,IoT,device_14,network_access,3,Unknown,Unknown,3,0
2025-08-03 04:28:11.281850,IoT,device_14,network_access,1,Unknown,Unknown,3,0
2025-08-20 10:20:33.148329,IoT,device_4,cloud_download,7,Unknown,Unknown,3,0
2025-01-28 18:32:58.640111,IoT,device_17,network_access,3,Unknown,Unknown,3,0
2025-09-25 16:05:41.195088,IoT,device_6,cloud_download,1,Unknown,Unknown,3,0
2025-09-22 00:19:40.492568,IoT,device_3,cloud_download,2,Unknown,Unknown,3,0
2025-06-30 05:30:46.736147,IoT,device_19,file_access,7,Unknown,Unknown,3,0
2025-01-23 09:53:57.073382,IoT,device_6,file_access,2,Unknown,Unknown,3,0
2025-07-05 08:10:40.950297,IoT,device_9,network_access,1,Unknown,Unknown,3,0
2025-03-04 05:03:52.906781,IoT,device_3,cloud_download,1,Unknown,Unknown,3,0
2025-06-12 03:18:06.233100,IoT,device_16,cloud_download,2,Unknown,Unknown,3,0
2025-07-31 16:49:04.718934,IoT,device_1,network_access,7,Unknown,Unknown,3,0
2025-04-05 03:55:09.942278,IoT,device_16,cloud_download,3,Unknown,Unknown,3,0
2025-03-25 15:59:51.980533,IoT,device_7,cloud_download,1,Unknown,Unknown,3,0
2025-05-01 02:31:09.638819,IoT,device_16,cloud_download,3,Unknown,Unknown,3,0
2025-06-29 20:46:17.501561,IoT,device_5,network_access,3,Unknown,Unknown,3,0
2025-07-13 13:07:19.435564,IoT,device_12,file_access,3,Unknown,Unknown,3,0
2025-05-20 23:06:48.366864,IoT,device_13,cloud_download,3,Unknown,Unknown,3,0
2025-09-08 02:25:25.271931,IoT,device_15,network_access,7,Unknown,Unknown,3,0
2025-09-25 15:25:01.842065,IoT,device_4,network_access,2,Unknown,Unknown,3,0
2025-06-11 06:06:32.834955,IoT,device_7,cloud_download,1,Unknown,Unknown,3,0
2025-03-06 07:03:37.536692,IoT,device_10,cloud_download,7,Unknown,Unknown,3,0
2025-10-11 11:13:01.127044,IoT,device_17,file_access,7,Unknown,Unknown,3,0
2025-06-21 14:20:28.283848,IoT,device_4,file_access,3,Unknown,Unknown,3,1
2025-07-05 05:14:49.399486,IoT,device_4,file_access,7,Unknown,Unknown,3,0
2025-08-06 04:35:25.410923,IoT,device_11,network_access,1,Unknown,Unknown,3,0
2025-04-13 06:04:34.947374,IoT,device_12,cloud_download,3,Unknown,Unknown,3,0
2025-03-02 05:41:23.939155,IoT,device_8,network_access,2,Unknown,Unknown,3,0
2025-08-13 03:16:22.272881,IoT,device_7,network_access,3,Unknown,Unknown,3,0
2025-08-01 17:44:46.879709,IoT,device_2,cloud_download,7,Unknown,Unknown,3,0
2025-04-29 16:09:32.104399,IoT,device_1,network_access,1,Unknown,Unknown,3,0
2025-07-07 22:46:19.051879,IoT,device_8,network_access,7,Unknown,Unknown,3,0
2025-04-15 12:21:01.864528,IoT,device_16,network_access,7,Unknown,Unknown,3,1
2025-03-23 12:08:12.661671,IoT,device_11,cloud_download,7,Unknown,Unknown,3,0
2025-04-24 03:45:36.788535,IoT,device_10,network_access,1,Unknown,Unknown,3,0
2025-01-25 20:36:31.152729,IoT,device_6,cloud_download,7,Unknown,Unknown,3,0
2025-09-22 12:41:45.792795,IoT,device_6,file_access,2,Unknown,Unknown,3,0
2025-02-03 13:58:12.313531,IoT,device_1,file_access,3,Unknown,Unknown,3,0
2025-05-13 16:38:22.705526,IoT,device_13,network_access,2,Unknown,Unknown,3,1
2025-08-01 20:33:54.963423,IoT,device_2,network_access,2,Unknown,Unknown,3,0
2025-04-26 18:53:11.012760,IoT,device_8,file_access,2,Unknown,Unknown,3,0
2025-06-14 06:26:41.737780,IoT,device_1,file_access,3,Unknown,Unknown,3,0
2025-04-11 09:20:49.231057,IoT,device_11,file_access,2,Unknown,Unknown,3,0
2025-06-30 13:59:51.842186,IoT,device_9,file_access,3,Unknown,Unknown,3,0
2025-07-18 05:59:09.197638,IoT,device_13,file_access,7,Unknown,Unknown,3,0
2025-07-12 17:26:48.561622,IoT,device_6,network_access,1,Unknown,Unknown,3,0
2025-04-03 01:53:13.115552,IoT,device_3,cloud_download,7,Unknown,Unknown,3,0
