timestamp,device_id,activity_type,resource_accessed,anomaly_flag
2025-06-07 05:26:54.714228,device_5,file_access,cloud_bucket2,0
2025-05-05 20:46:38.639741,device_7,cloud_download,cloud_bucket2,0
2025-08-18 02:34:40.175472,device_9,network_access,cloud_bucket1,0
2025-07-02 05:22:23.154947,device_19,file_access,database,0
2025-07-14 23:50:47.803614,device_10,cloud_download,database,0
2025-07-19 12:56:01.755621,device_15,file_access,server1,0
2025-02-07 08:44:38.091966,device_9,network_access,server1,0
2025-10-13 02:03:24.191659,device_18,file_access,database,0
2025-07-13 00:26:09.428237,device_6,file_access,cloud_bucket1,0
2025-02-07 20:06:44.406348,device_14,network_access,database,0
2025-06-28 13:25:42.498750,device_11,cloud_download,database,0
2025-01-24 01:36:27.688056,device_5,network_access,cloud_bucket1,0
2025-01-12 03:49:51.440927,device_13,cloud_download,database,0
2025-03-27 02:24:12.649696,device_5,file_access,database,0
2025-02-26 00:30:58.665492,device_14,network_access,cloud_bucket2,0
2025-04-11 09:30:43.291524,device_7,cloud_download,cloud_bucket2,0
2025-03-15 07:07:07.883430,device_7,file_access,cloud_bucket2,0
2025-01-02 21:24:44.332030,device_5,network_access,cloud_bucket1,0
2025-08-17 02:35:59.711463,device_17,file_access,cloud_bucket2,0
2025-05-22 10:45:10.374896,device_7,file_access,cloud_bucket1,0
2025-08-02 20:51:16.743057,device_2,cloud_download,server1,0
2025-06-19 20:17:31.261899,device_9,file_access,cloud_bucket1,0
2025-08-23 11:20:38.820706,device_8,file_access,cloud_bucket2,0
2025-08-07 20:52:44.292289,device_11,network_access,server1,0
2025-09-28 16:52:48.657143,device_15,network_access,cloud_bucket1,0
2025-05-04 05:11:55.148835,device_16,file_access,cloud_bucket1,0
2025-03-14 05:32:00.176203,device_17,file_access,cloud_bucket1,1
2025-06-12 18:41:48.925228,device_19,cloud_download,cloud_bucket2,0
2025-09-04 21:01:09.673175,device_1,network_access,server1,0
2025-03-19 08:06:06.030028,device_10,file_access,cloud_bucket1,0
2025-05-27 23:20:47.489208,device_18,file_access,server1,0
2025-01-18 19:41:03.138616,device_8,cloud_download,server1,1
2025-08-13 21:21:34.966338,device_2,cloud_download,cloud_bucket2,0
2025-08-28 17:29:09.493677,device_7,network_access,cloud_bucket1,0
2025-09-22 09:45:54.999601,device_7,file_access,cloud_bucket2,0
2025-04-07 23:21:00.657913,device_19,cloud_download,database,0
2025-06-19 16:22:54.440595,device_19,network_access,database,0
2025-09-10 01:53:38.974245,device_7,cloud_download,cloud_bucket1,0
2025-05-06 05:04:36.017159,device_8,file_access,cloud_bucket2,0
2025-04-21 16:55:09.251219,device_7,cloud_download,server1,0
2025-05-11 15:29:50.825368,device_2,network_access,server1,0
2025-02-04 20:44:41.973641,device_9,network_access,database,1
2025-04-15 00:34:20.115376,device_19,network_access,cloud_bucket2,0
2025-07-29 14:17:02.659547,device_15,network_access,cloud_bucket1,0
2025-02-21 10:36:20.332032,device_15,network_access,server1,0
2025-07-19 07:26:13.449631,device_3,network_access,cloud_bucket2,0
2025-06-30 15:17:22.492452,device_18,file_access,cloud_bucket2,0
2025-07-30 03:31:32.674209,device_8,file_access,database,0
2025-01-23 22:40:20.147073,device_13,cloud_download,cloud_bucket2,0
2025-07-21 14:54:21.443418,device_6,cloud_download,cloud_bucket2,0
2025-06-19 17:41:54.263104,device_18,cloud_download,server1,0
2025-04-20 06:54:04.196948,device_14,network_access,cloud_bucket1,0
2025-05-22 11:08:28.585315,device_8,cloud_download,server1,0
2025-05-09 12:32:42.419545,device_19,cloud_download,cloud_bucket2,0
2025-06-13 00:48:07.363040,device_14,network_access,database,0
2025-08-03 04:28:11.281850,device_14,network_access,cloud_bucket1,0
2025-08-20 10:20:33.148329,device_4,cloud_download,server1,0
2025-01-28 18:32:58.640111,device_17,network_access,database,0
2025-09-25 16:05:41.195088,device_6,cloud_download,cloud_bucket1,0
2025-09-22 00:19:40.492568,device_3,cloud_download,cloud_bucket2,0
2025-06-30 05:30:46.736147,device_19,file_access,server1,0
2025-01-23 09:53:57.073382,device_6,file_access,cloud_bucket2,0
2025-07-05 08:10:40.950297,device_9,network_access,cloud_bucket1,0
2025-03-04 05:03:52.906781,device_3,cloud_download,cloud_bucket1,0
2025-06-12 03:18:06.233100,device_16,cloud_download,cloud_bucket2,0
2025-07-31 16:49:04.718934,device_1,network_access,server1,0
2025-04-05 03:55:09.942278,device_16,cloud_download,database,0
2025-03-25 15:59:51.980533,device_7,cloud_download,cloud_bucket1,0
2025-05-01 02:31:09.638819,device_16,cloud_download,database,0
2025-06-29 20:46:17.501561,device_5,network_access,database,0
2025-07-13 13:07:19.435564,device_12,file_access,database,0
2025-05-20 23:06:48.366864,device_13,cloud_download,database,0
2025-09-08 02:25:25.271931,device_15,network_access,server1,0
2025-09-25 15:25:01.842065,device_4,network_access,cloud_bucket2,0
2025-06-11 06:06:32.834955,device_7,cloud_download,cloud_bucket1,0
2025-03-06 07:03:37.536692,device_10,cloud_download,server1,0
2025-10-11 11:13:01.127044,device_17,file_access,server1,0
2025-06-21 14:20:28.283848,device_4,file_access,database,1
2025-07-05 05:14:49.399486,device_4,file_access,server1,0
2025-08-06 04:35:25.410923,device_11,network_access,cloud_bucket1,0
2025-04-13 06:04:34.947374,device_12,cloud_download,database,0
2025-03-02 05:41:23.939155,device_8,network_access,cloud_bucket2,0
2025-08-13 03:16:22.272881,device_7,network_access,database,0
2025-08-01 17:44:46.879709,device_2,cloud_download,server1,0
2025-04-29 16:09:32.104399,device_1,network_access,cloud_bucket1,0
2025-07-07 22:46:19.051879,device_8,network_access,server1,0
2025-04-15 12:21:01.864528,device_16,network_access,server1,1
2025-03-23 12:08:12.661671,device_11,cloud_download,server1,0
2025-04-24 03:45:36.788535,device_10,network_access,cloud_bucket1,0
2025-01-25 20:36:31.152729,device_6,cloud_download,server1,0
2025-09-22 12:41:45.792795,device_6,file_access,cloud_bucket2,0
2025-02-03 13:58:12.313531,device_1,file_access,database,0
2025-05-13 16:38:22.705526,device_13,network_access,cloud_bucket2,1
2025-08-01 20:33:54.963423,device_2,network_access,cloud_bucket2,0
2025-04-26 18:53:11.012760,device_8,file_access,cloud_bucket2,0
2025-06-14 06:26:41.737780,device_1,file_access,database,0
2025-04-11 09:20:49.231057,device_11,file_access,cloud_bucket2,0
2025-06-30 13:59:51.842186,device_9,file_access,database,0
2025-07-18 05:59:09.197638,device_13,file_access,server1,0
2025-07-12 17:26:48.561622,device_6,network_access,cloud_bucket1,0
2025-04-03 01:53:13.115552,device_3,cloud_download,server1,0
2025-05-29 13:58:43.225856,device_4,file_access,cloud_bucket1,0
2025-02-21 12:35:13.534987,device_14,cloud_download,database,0
2025-07-21 15:56:29.743748,device_19,cloud_download,cloud_bucket2,0
2025-02-26 08:59:54.901659,device_16,cloud_download,database,0
2025-07-25 20:07:15.548186,device_20,cloud_download,cloud_bucket2,0
2025-03-13 10:46:42.135718,device_20,cloud_download,server1,0
2025-09-01 12:40:42.303060,device_10,network_access,server1,0
2025-02-13 11:17:04.608981,device_7,cloud_download,cloud_bucket2,0
2025-03-20 21:48:22.427918,device_6,cloud_download,cloud_bucket2,0
2025-03-27 19:32:47.108320,device_13,file_access,cloud_bucket1,0
2025-01-18 01:15:27.191804,device_20,cloud_download,cloud_bucket1,0
2025-05-10 21:25:23.166975,device_15,cloud_download,cloud_bucket2,0
2025-01-29 02:55:08.817008,device_2,file_access,server1,0
2025-07-06 17:16:42.123524,device_12,network_access,cloud_bucket1,0
2025-03-09 18:10:17.112992,device_9,network_access,cloud_bucket1,0
2025-01-20 22:48:54.038365,device_7,file_access,cloud_bucket1,0
2025-07-03 16:30:07.652778,device_9,cloud_download,database,1
2025-07-14 21:42:31.858512,device_1,cloud_download,cloud_bucket2,0
2025-02-21 19:04:41.378977,device_8,file_access,cloud_bucket1,0
2025-03-30 17:45:05.064138,device_10,file_access,cloud_bucket2,0
2025-09-23 15:36:07.589213,device_13,network_access,database,0
2025-10-08 15:06:54.589450,device_12,cloud_download,database,0
2025-06-23 21:00:03.939456,device_14,file_access,cloud_bucket1,0
2025-05-24 05:19:57.665453,device_14,file_access,database,0
2025-05-06 13:32:41.282860,device_9,network_access,database,0
2025-03-30 19:38:56.549923,device_19,network_access,server1,0
2025-08-16 04:44:05.170908,device_8,file_access,cloud_bucket2,0
2025-05-07 06:51:59.592509,device_11,file_access,cloud_bucket2,0
2025-01-12 14:04:04.152736,device_5,cloud_download,database,0
2025-06-20 04:06:36.516653,device_20,cloud_download,database,0
2025-05-06 09:00:59.595067,device_10,file_access,database,0
2025-04-10 21:31:18.161263,device_12,network_access,database,0
2025-05-30 11:59:18.434674,device_20,network_access,server1,0
2025-04-25 01:19:57.911482,device_17,network_access,cloud_bucket2,0
2025-02-03 12:14:06.376919,device_6,cloud_download,server1,0
2025-01-11 07:35:53.621345,device_8,network_access,server1,0
2025-08-16 11:54:40.511078,device_12,network_access,database,0
2025-02-28 02:15:19.645952,device_15,file_access,server1,0
2025-08-18 16:19:57.759140,device_5,cloud_download,database,0
2025-06-10 02:45:46.824698,device_15,network_access,database,0
2025-07-20 09:14:53.416466,device_1,cloud_download,database,0
2025-09-29 21:49:03.932481,device_16,cloud_download,cloud_bucket1,0
2025-07-03 09:50:19.828975,device_18,network_access,cloud_bucket1,0
2025-06-10 02:59:05.239600,device_14,cloud_download,cloud_bucket1,0
2025-06-20 17:30:03.491437,device_20,network_access,database,0
2025-03-05 19:38:41.409321,device_13,cloud_download,cloud_bucket1,0
2025-07-10 11:40:09.752255,device_16,file_access,server1,1
2025-03-08 03:17:16.564419,device_18,cloud_download,cloud_bucket2,0
2025-05-30 13:10:12.643331,device_14,network_access,database,0
2025-03-04 03:58:40.057454,device_19,cloud_download,cloud_bucket1,1
2025-08-01 06:01:39.576050,device_7,file_access,database,0
2025-04-13 08:21:24.501645,device_1,cloud_download,database,0
2025-03-28 01:57:36.993231,device_6,cloud_download,cloud_bucket1,0
2025-04-21 17:06:56.097982,device_7,cloud_download,database,0
2025-03-19 04:15:11.216916,device_2,file_access,cloud_bucket1,0
2025-05-13 13:26:27.266275,device_4,cloud_download,server1,0
2025-04-03 19:23:33.260681,device_13,file_access,cloud_bucket1,0
2025-08-27 17:44:41.294979,device_10,file_access,cloud_bucket1,0
2025-07-15 11:54:04.921796,device_20,file_access,cloud_bucket1,0
2025-05-24 03:51:03.524057,device_12,file_access,cloud_bucket2,0
2025-04-23 04:46:06.273797,device_12,network_access,cloud_bucket1,0
2025-01-01 16:49:25.565478,device_18,cloud_download,cloud_bucket2,0
2025-02-02 23:01:26.569354,device_19,cloud_download,server1,0
2025-04-25 05:00:55.487999,device_18,cloud_download,cloud_bucket1,0
2025-09-23 03:37:04.955759,device_20,network_access,server1,0
2025-06-27 22:42:49.770169,device_1,network_access,database,0
2025-09-16 13:14:40.979094,device_18,cloud_download,server1,0
2025-01-06 14:12:04.216590,device_18,network_access,server1,0
2025-09-07 01:36:44.898078,device_9,file_access,database,0
2025-09-20 09:07:28.440196,device_17,cloud_download,cloud_bucket1,0
2025-01-04 02:55:37.851864,device_13,cloud_download,cloud_bucket2,0
2025-02-22 12:09:10.361416,device_12,network_access,database,0
2025-07-11 05:42:19.708410,device_11,network_access,cloud_bucket2,0
2025-10-02 05:42:44.827133,device_4,network_access,database,0
2025-01-13 10:45:22.911423,device_4,file_access,cloud_bucket2,0
2025-04-21 23:23:59.376479,device_6,cloud_download,cloud_bucket2,0
2025-07-08 09:34:44.865998,device_15,cloud_download,cloud_bucket2,0
2025-08-18 20:00:29.623111,device_8,cloud_download,server1,0
